Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),Hard Ratio,f_pos_1,f_pos_2,f_pos_3,f_pos_4,f_pos_5,f_let_1,f_let_2,f_let_3,f_let_4,f_let_5,gini,continuous,gain_1,gain_2
2022-01-07,202,slump,80630,1362,1,3,23,39,24,9,1,0.01689197569142999,0.1206444650015417,0.0538852913968547,0.051418439716312,0.0309898242368177,0.011332099907493,0.2348087021755439,0.2073568673983981,0.2656312226204699,0.2034412955465587,0.0728083209509658,0.7999999999999999,0,4.514074468057306,6.464482095886142
2022-01-08,203,crank,101503,1763,1,5,23,31,24,14,2,0.017368944760253392,0.0710761640456367,0.072463768115942,0.095282146160962,0.0607462226333641,0.0199660807893925,0.4546351084812623,0.226070226070226,0.2063439065108514,0.2669376693766938,0.1720930232558139,0.7999999999999999,0,4.383913763042965,6.646221981333129
2022-01-09,204,gorge,91477,1913,1,3,13,27,30,22,4,0.020912360484056102,0.0491828553808202,0.1615787850755473,0.0923527597903176,0.0326086956521739,0.1173296330558125,0.3880778588807786,0.4722848129788193,0.2881192881192881,0.2572992700729927,0.2284599219453617,0.72,0,4.392876149064619,6.544324412865431
2022-01-10,205,query,107134,2242,1,4,16,30,30,17,2,0.02092706330389979,0.0060129509713228,0.091504779525131,0.0679925994449583,0.0554270736971939,0.1002929386370644,0.6964285714285714,0.4727200318598168,0.1323926748724107,0.1729196729196729,0.6272902603664416,0.7999999999999999,0,4.0681920257415465,6.362596894175788
2022-01-11,206,drink,153880,3017,1,9,35,34,16,5,1,0.019606186638939434,0.0528060437866173,0.072463768115942,0.0810206598828245,0.0607462226333641,0.0199660807893925,0.2792498980839788,0.226070226070226,0.2795956371375366,0.2669376693766938,0.1720930232558139,0.7999999999999999,0,4.548086184010853,6.896650940883849
2022-01-12,207,favor,137586,3073,1,4,15,26,29,21,4,0.022335121305946826,0.0460992907801418,0.1744526672833795,0.0185013876040703,0.0538082022818378,0.0518809744064138,0.536322869955157,0.37779632721202,0.345821325648415,0.1572780531771068,0.1618566618566618,0.7999999999999999,0,4.45020307855491,6.543659207243713
2022-01-13,208,abbey,132726,3345,1,2,13,29,31,20,3,0.025202296460377017,0.0568146777674992,0.0062442183163737,0.0258248535306814,0.179386370644465,0.1002929386370644,0.1230383973288814,0.0497848801475107,0.2059004302397049,0.349294506154308,0.6272902603664416,0.72,1,4.157451841020055,6.16952314976283
2022-01-14,209,tangy,169484,3985,1,4,21,30,24,15,5,0.02351254395695169,0.062827628738822,0.1744526672833795,0.074313906876349,0.0326086956521739,0.1002929386370644,0.2473444613050076,0.37779632721202,0.3265582655826558,0.2572992700729927,0.6272902603664416,0.7999999999999999,0,4.480446601679254,6.458726346817997
2022-01-15,210,panic,205880,4655,1,9,35,34,16,5,1,0.022610258402953175,0.0662195497995683,0.1744526672833795,0.074313906876349,0.0678384212149244,0.0097903176071538,0.4254581475978207,0.37779632721202,0.3265582655826558,0.2341048151104017,0.0626232741617357,0.7999999999999999,0,4.572505097851552,7.111762446843196
2022-01-16,211,solar,209609,4955,1,9,32,32,18,7,1,0.023639252131349323,0.1206444650015417,0.1615787850755473,0.0653715695343817,0.0827937095282146,0.0518809744064138,0.2348087021755439,0.4722848129788193,0.2515574013645802,0.1792988313856427,0.1618566618566618,0.7999999999999999,0,5.352340765842165,7.994731428775526
