,0
slump,6.464482095886142
crank,6.646221981333129
gorge,6.544324412865431
query,6.362596894175788
drink,6.896650940883849
favor,6.543659207243713
abbey,6.16952314976283
tangy,6.458726346817997
panic,7.111762446843196
solar,7.994731428775526
shire,7.846026736262219
proxy,5.919805804460724
point,8.008857780113145
robot,7.1664113249372905
prick,6.67388300370855
wince,7.385276585491764
crimp,6.840174241561624
knoll,6.916204330290993
sugar,7.367305396625033
whack,6.9564070196226355
mount,7.7289498950441935
perky,6.224529181762958
could,8.564598438222264
wrung,6.801986622386665
light,7.437242319138574
those,9.222869313190412
moist,7.577299524042245
shard,7.198270513388696
pleat,7.155005936381048
aloft,7.764773852848501
skill,6.524020507644899
elder,6.9061447576944985
frame,6.775106870291458
humor,7.5264467106595125
pause,7.413253633493585
ulcer,6.894479965992624
ultra,7.80014932078642
robin,7.361765587277916
cynic,6.315581193371436
aroma,6.699310972446293
caulk,7.215603015283874
shake,6.828487037620382
dodge,6.589981653648445
swill,6.602219430934411
tacit,7.121880899647606
other,8.979172428041018
thorn,8.326982768093655
trove,7.397460780659629
bloke,6.746389707808781
vivid,5.622424222858906
spill,6.428697289310771
chant,7.44626287295694
choke,7.140714630557867
rupee,7.102467763510982
nasty,7.014460212369058
mourn,7.8296842571335805
ahead,7.121776098651934
brine,6.847120838739637
cloth,7.733505031130668
hoard,8.136059901817381
sweet,7.335874549461327
month,7.895415401230017
lapse,7.754407202933462
watch,7.0867651788231525
today,8.02294447725763
focus,8.37688435380031
smelt,7.547039292060424
tease,8.258157823024543
cater,7.436435731345624
movie,7.663834349010913
saute,8.316721654869408
allow,7.147798995654769
renew,7.311965919366194
their,9.499482193139245
slosh,7.205459003788103
purge,6.550081817164289
chest,8.334682569032804
depot,7.290176082034879
epoxy,6.570914427637851
nymph,6.711772542398773
found,7.27269177235287
shall,7.403704828407747
stove,7.229295019326431
lowly,6.722205180030091
snout,7.715411904027219
trope,7.678489086008877
fewer,6.180241085795028
shawl,7.654181121420004
natal,6.665842836045629
