,0
cigar,7.455967867048629
rebut,6.821778393251898
sissy,5.64935802838207
humph,6.113380571700529
awake,5.8720014865675765
blush,6.865955364012299
focal,7.177943561359461
evade,6.490398336819704
naval,5.992136409900973
serve,6.956565611573578
heath,7.335579534296125
dwarf,6.976309402110888
model,7.997484289390317
karma,6.230039929347
stink,7.1297157913249904
grade,7.12542419180719
quiet,7.182460685849031
bench,7.055492114321663
abate,6.771663203571136
feign,6.928532467036004
major,6.68048560171184
death,7.835150487647087
fresh,8.2369943866839
crust,7.702377717184347
stool,7.058607124087818
colon,7.198050882452553
abase,6.816945540040029
marry,6.215761190349818
react,7.921328949570675
batty,5.949530935374296
pride,7.048614730009163
floss,7.094008958085232
helix,7.354525382375277
croak,7.043894965547463
staff,6.324926750315864
paper,6.269224732954621
unfed,6.967041230159704
whelp,7.480256995328856
trawl,7.252264168745112
outdo,7.352456241917496
adobe,7.376637816811104
crazy,5.725847362695203
sower,7.23347849529637
repay,7.03465912686274
digit,7.084163650950654
crate,7.58362574043923
cluck,6.107433601444805
spike,6.466098116046519
mimic,5.916166152156333
pound,7.048125438791617
maxim,5.599740198881033
linen,6.893920659951307
unmet,7.386116230546565
flesh,7.872970592026425
booby,4.799835705372925
forth,7.495687971357596
first,8.724047278107305
stand,7.189718493517497
belly,6.04678260363531
ivory,6.634981146437181
seedy,6.727495010293116
print,7.780349862535908
yearn,7.605104777838422
drain,7.4338414534760915
bribe,6.03428621738952
stout,7.113805845109788
panel,7.46820580397928
crass,7.2980454251611
flume,6.148186444077297
offal,6.376107749887483
agree,7.708424777979768
error,7.337138390629668
swirl,7.149034148161537
argue,7.410192822046649
bleed,6.700661824984237
delta,7.583131585486349
flick,6.86695284330578
totem,7.545575238465886
wooer,7.0101989043037936
front,7.722901985198098
shrub,6.985436334326705
parry,6.184426623512891
biome,7.288588446269943
lapel,7.1486278622186905
start,7.531663937200558
greet,7.735748433483468
goner,7.317986714973442
golem,7.448266320773032
lusty,7.053895051197813
loopy,5.980710488925952
round,7.6540677338283665
audit,8.035250345049878
lying,6.618312439125988
gamma,5.350408051442526
labor,7.650341117272442
islet,8.070245986465023
civic,5.933525132219835
forge,6.827696164109844
corny,7.084644071264605
moult,7.770507401636583
basic,7.894868963028862
salad,7.043959971930408
agate,6.809063860634543
spicy,6.655630533492336
spray,6.833242891393346
essay,7.002410930084967
fjord,6.575469054676727
spend,7.350752599170214
kebab,5.877964064165658
guild,7.669397847872423
aback,6.312864132355322
motor,7.348609054512242
alone,7.641663626227257
hatch,6.436376387399225
hyper,7.176944005916467
thumb,6.983404488405136
dowry,7.148262896782367
ought,7.916208345093544
belch,6.933633078684619
dutch,6.966034012945166
pilot,7.638931338381088
tweed,7.461896273603177
comet,7.591819708637698
jaunt,6.291925984137547
enema,7.096105306365691
steed,7.548610843510977
abyss,7.232491486165856
growl,6.955921652821516
fling,6.17365284021488
dozen,7.32366477509894
boozy,4.781331208279999
erode,6.873185870361858
world,8.371602966050832
gouge,6.312336850892545
click,6.932106275364637
briar,6.68146329097014
great,8.194982860382547
altar,7.469715829978966
pulpy,5.270835759591195
blurt,7.021964063417503
coast,8.107418636975568
duchy,6.856884092802876
groin,7.353622164712011
fixer,5.725976292310143
group,7.49363752010679
rogue,7.563283839104516
badly,6.609703835977743
smart,7.92977234287395
pithy,7.199965902837946
gaudy,6.402921875617246
chill,7.385748649422378
heron,7.996101631772052
vodka,6.920409191640986
finer,6.545545617910308
surer,6.856599454056525
radio,7.86076753535189
rouge,7.159132823530711
perch,7.401143135448528
retch,7.770518230238295
wrote,8.147033224830736
clock,6.2793471540836014
tilde,8.285734060452173
store,8.545948784908104
prove,6.7053305536895005
bring,6.6984600684746445
solve,7.904436606038204
cheat,7.831717095099959
grime,6.87610557384622
exult,6.524866153063677
usher,7.782922995578512
epoch,7.9869045937507295
triad,7.801424077859909
break,6.738250306649192
rhino,7.964720268447897
viral,6.968560918836287
conic,6.709280950347018
masse,7.073774236646888
sonic,7.958476305082319
vital,7.212792039665249
trace,8.012616795761312
using,7.805717096256962
champ,6.705716601540202
baton,7.559310967370488
brake,6.444489963079612
pluck,6.464845466984177
craze,6.279528067243432
gripe,7.053386396517514
weary,6.80406530736374
picky,6.129488463376819
acute,7.543452801266968
ferry,5.961438101711424
aside,7.635417189676929
tapir,7.899787697008288
troll,7.282300153089621
unify,6.622925479571635
rebus,7.60095918117258
boost,7.168459096938719
truss,7.67883413625927
siege,7.377040816198722
tiger,7.85016943754201
banal,6.184213192686946
harry,6.700414137918869
hasty,7.191750761186463
fella,6.618727120989181
fetus,7.807238538196631
butch,6.765496462589354
phase,8.076228017041728
payer,6.642399072704442
gaily,6.808244285858155
hydro,7.742345254363138
flack,6.4067979105147055
stalk,6.998474276797129
augur,6.597376101781594
bobby,4.477775253462175
unlit,7.611134742250134
octal,7.925614096599836
widow,7.03329726266036
eclat,7.431945167962215
sooth,7.624710015838438
liege,7.351955719569204
unset,7.9792363943969296
vomit,7.425668276579601
ombre,7.531401233771486
fanny,5.2412511014205565
pooch,6.656942636383503
hippy,5.980642019360783
folly,5.9528532216991135
louse,8.014591835610322
gulch,6.809260662077618
vault,7.160842268758781
godly,7.37552868571355
threw,8.569265977131792
fleet,6.90665995745343
grave,6.364429679359009
shock,7.015270122363136
crave,6.546941964534852
spite,7.526529980105217
valve,6.257995273607324
skimp,6.338488179102239
claim,7.974031048398133
musty,6.760746801680541
pique,6.5700196589671584
daddy,4.878351872545783
quasi,6.992466401231932
arise,7.680401215094964
aging,6.303326106529051
opium,7.4953954285514195
